name,longitude,latitude
TerryWhite Chemmart,146.553449,-34.743955
Marilyn's,145.880666,-34.806163
Fountain Gate Medical Centre,145.312002,-38.002422
Birkenhead Medical Centre,151.163236,-33.855509
Mitcham Road Pharmacy,145.194384,-37.827608
Rangeview Pharmacy,145.194389,-37.827542
Chemist Warehouse,145.175837,-37.96784
Genisis Care,115.822534,-31.941766
Health Matters,152.795628,-27.570904
Centro Eye Clinic,115.820288,-31.944837
West Cessnock Medical Practice,151.343391,-32.838613
Campus Pharmacy,145.132601,-37.91172
Hazelbrook Pharmacy,150.453035,-33.722098
Australian Red Cross Blood Service,115.858225,-31.952414
Waverley Podiatry Centre,145.18375,-37.921193
Park Avenue Pharmacy,145.293161,-38.09316
PharmaSave,145.346505,-38.030996
Maxwell Medical Group,144.86083,-37.793822
Altona Chiropractic,144.812769,-37.864387
Specsavers,144.363918,-38.147615
Balranald Pharmacy,143.562562,-34.638936
Nutrition Wisdom Paddington,153.006899,-27.461773
TerryWhite Chemmart,153.01197,-27.411411
Nyah West Pharmacy Depot,142.882645,-35.05296
Ouyen Pharmacy,142.315163,-35.070555
Clifton Hill Therapies,144.989762,-37.789439
QML Pathology,153.385402,-27.899717
Leslie Chan Herbalist,151.205211,-33.880557
Mullein Pharmacy,152.900706,-27.677633
Smiles on South,151.104659,-33.910549
MTHCS Dr R.W. Pattinson Aged Hostel,142.327426,-35.071338
Priceline Pharmacy,152.318504,-24.886754
Childers Pharmacy,152.270338,-25.232246
Chemist Warehouse,151.226918,-23.87692
Priceline Pharmacy,151.242737,-23.870332
Canley Heights Pharmacy,150.925788,-33.883753
Clifton Hill Pharmacy,144.991081,-37.788225
Clifton Hill Podiatry,144.989298,-37.788964
MTHCS Underbool Centre,141.809701,-35.171127
Mallee Pharmacies Pinnaroo,140.908023,-35.260673
Murrayville Pharmacy,141.18267,-35.263133
Coburg Medical & Dental,144.966008,-37.741137
Clare Valley Family Pharmacy,138.685738,-34.02597
MTHCS Murrayville Centre,141.180682,-35.262543
Newcastle Dermatology,151.730838,-32.911475
Priceline Pharmacy,145.240558,-37.868833
QML Pathology,153.323044,-27.946
Chempro Chemist Eagleby,153.212594,-27.701141
Eagleby Medical Centre,153.212611,-27.701077
Dr Michael Tong,153.471031,-28.118737
Varsity Smiles,153.42363,-28.085583
Gold Coast Dental,153.41327,-27.992282
Priceline Pharmacy,153.31349,-27.852075
Lock Pharmacy,135.755828,-33.567749
Eucla Health Centre,128.888702,-31.6764
Lock Community Health and Welfare Centre,135.755837,-33.565462
Eyre Eye Centre,133.674024,-32.123151
West Coast Active Living and Physiotherapy,133.67405,-32.125636
Eyre Health,133.673975,-32.125852
Silverchain Eucla,128.889391,-31.676387
Amcal,115.986281,-32.147718
Haynes Medical Centre,115.986079,-32.147876
Ravensthorpe Pharmacy,120.048513,-33.581805
Balmoral Dental Centre - Dentist Bulimba,153.061433,-27.451336
Eli's Place Allied Health,153.184675,-27.673424
M1 Psychology,153.184538,-27.67348
M+M Fitness,153.184907,-27.673611
Great Wall,151.087815,-33.964737
Penshurst Physiotherapy,151.087405,-33.964261
Norseman Gold Pharmacy,121.780121,-32.198632
Bradshaws Pharmacy,121.891413,-33.861913
Forrest Road GP,116.008031,-32.153016
Esperance Bay Dental,121.898664,-33.853758
Banksia Medical and Health,121.895121,-33.856822
Bannockburn Surgery,144.171335,-38.045763
Options Optometrist Belmont,115.935332,-31.963844
Options Optometrists Livingston Marketplace,115.917688,-32.085575
Options Optometrists Joondalup,115.765601,-31.743601
Options Optometrists Clarkson Ocean Keys,115.717767,-31.690011
Options Optometrists Midland Gate,116.009751,-31.889656
Options Optometrists Morley Galleria,115.898225,-31.896838
Donnybrook Physiotherapy,115.825003,-33.574646
Podiatrist,115.825038,-33.574719
Donnybrook Chiropratic Clinic,115.822788,-33.570457
Donnybrook Family Doctors,115.824822,-33.574265
Esperance Family Practice,121.890832,-33.864562
Dr C Harris and Associates - Dental Surgery,121.890889,-33.86457
Esperance Podiatry,121.891186,-33.864611
Connect Hearing,121.891103,-33.8646
Main St Medical Centre - Bulk Bill Available,153.213681,-27.72422
TerryWhite Chemmart,153.213733,-27.724145
Hopetoun Beachfront Chemist,120.126131,-33.950195
Campus Health Clinic Wollongong University,150.879359,-34.407771
ihear,120.116475,-33.942296
Livingston Medical - Hopetoun Medical Centre,120.126977,-33.947868
Livingston Medical - Ravensthorpe Medical Centre,120.045387,-33.584265
Action Psychology SA,138.748564,-34.603654
Newdegate Medical Centre,119.025204,-33.094595
Priceline Pharmacy,150.176275,-35.706098
Glenelg 7 day pharmacy,138.514996,-34.980392
Mt Barker Country Chemist,117.661953,-34.626773
Community and Child Health Services,118.006955,-33.936442
Kingston Hospital,139.848552,-36.835531
Gawler GP Access Afterhours,138.74952,-34.600029
Medicines R Us,150.673006,-33.769852
Gordonvale Family Medical Centre,145.78662,-17.090477
Pemberton Phamacy,116.03397,-34.445344
Savage Xray,153.041088,-27.456051
4Lane Phisiotherapy,115.764341,-33.979999
Pemberton Infant Healthcare Centre,116.03451,-34.444649
Country Living Chiropractic,115.765168,-33.98327
Clinipath Pathology,116.137129,-33.9586
OPSM,153.025533,-27.509229
Identilab,153.106877,-27.588941
TerryWhite Chemmart,153.122236,-26.772806
Chemist Warehouse,153.248869,-27.638904
Pacific Smiles Dental,153.02915,-27.194971
Qld Diagnostic Imaging,153.02216,-27.239835
4 Cyte Pathology,153.187715,-27.753602
Empowering Wellness,153.446659,-28.080961
Chiro + Co.,153.42394,-28.085022
Da Rin Optometrist,153.236173,-27.509547
East Coast Compounding,153.237235,-27.509885
Flourish Medical Group,146.53426,-38.197289
Hooley Orthodontist,146.533858,-38.197211
Laser Clinic,146.536511,-38.197424
Brickworks Medical Clinic,153.409336,-27.979654
Boian Chemist,151.081271,-33.949489
Clovelly Dental,151.253977,-33.9114
CustomMed,151.240995,-33.916243
HCF Dental Centre,144.960661,-37.817033
Jenny Craig,146.536199,-38.197431
Alfords Point Chemist,151.02431,-33.993447
PharmaSave,151.132211,-33.964781
Wagin General Practice,117.344337,-33.310405
Hospital Hill Pharmacy,150.88587,-34.425141
Australian Red Cross Blood Service,151.20569,-33.873561
Farrelly Chiropractic,145.303486,-38.024686
OPSM,115.761332,-31.997787
Lake Grace Community Pharmacy,118.46156,-33.100645
Western Diagnostic Pathology,115.756647,-32.061887
Hawkesbury Fine Dental,150.751167,-33.595762
Dr Theodore Tang,144.929818,-37.788037
Amcal,151.168966,-33.93684
myhealth Medical Centre,151.186642,-33.7944
Toodyay Pharmacy,116.468042,-31.549853
Pacific Smiles Dental Clinic,146.538886,-38.197304
Goomalling Pharmacy,116.827624,-31.298362
Larry Elsegood (Wyalkatchem) Medical Centre,117.386332,-31.175628
Marysville Medical Clinic,145.751301,-37.5134
Happy Pill Pharmacy,117.382426,-31.180822
Hawthorne Chiropractic,153.060948,-27.459983
Kununoppin Medcial Practice,117.923014,-31.110162
Danks Street Discount Pharmacy,151.212891,-33.897835
Dr Victoria Nisenblat,138.615548,-34.934508
St Helena Pharmacy,145.135917,-37.685182
Princess Alexandra Hospital Radiation Oncology,153.027134,-27.484998
Chemist Warehouse,151.952125,-27.560643
Wilton Medical Centre,150.683383,-34.228364
Ramsay Pharmacy,153.563195,-28.389457
Central Pottsville Medical Centre,153.564184,-28.388983
Sharp Eyes,153.564181,-28.388915
The Earth lab,153.569762,-28.33262
Coastal Therapies,153.56948,-28.33223
The Health Cove,153.568918,-28.330992
Priceline Pharmacy,153.574941,-28.256402
Campbell Pharmacy,149.154215,-35.289413
Dr Michael Tucker,149.144175,-35.3134
Narrabeen Family Medical Practice,151.299945,-33.700628
Illawarra Oral and Maxillofacial Surgery,150.418175,-34.482873
Clinical Psychologist,153.43899,-28.840642
TAFE NSW Counselling and Career Development Service,150.798344,-34.068244
Bridge Inn Medical,145.099537,-37.601881
Direct Chemist Outlet,145.099517,-37.601995
Zen Holistic Health Clinic,145.099769,-37.602973
Southern Cross Medical Imaging,145.100022,-37.602994
Blooms The Chemist,150.862609,-34.546753
SunDoctors,153.563031,-28.389177
Australian GP Group Medical Centre,150.8627,-34.54649
Chemist Warehouse,146.538187,-38.196061
Priceline Pharmacy Amaroo,149.132393,-35.164755
Alstonville Family Practice,153.440142,-28.842416
TerryWhite Chemmart,153.439736,-28.841588
My GP Gungahlin,149.135642,-35.18548
Alstonville Medical Centre,153.439071,-28.839935
Amalgam Free Dentistry,149.135348,-35.18502
Prosthetic Technology,153.438935,-28.838749
En Pointe Health Centre,145.137285,-37.605699
Red Earth Chiropractic,153.441696,-28.841994
Sullivan Nicolaides Pathology,153.441691,-28.841966
Connected Minds Psychology,144.982755,-37.806917
Northcoast Radiology,153.347687,-28.81263
Victorian Bone & Joint Specialists,144.975618,-37.807813
Narembeen Pharmacy,118.394502,-32.065427
Stable Health Clinic,144.981824,-37.785429
Gippsland Physiotherapy Group Morwell,146.39532,-38.23699
Gippsland Physiotherapy Group Leongatha,145.947196,-38.478063
Acland Street Dental Group,144.980004,-37.86858
Chemist Warehouse,144.989349,-37.872478
Milingimbi Health Centre,134.922657,-12.106122
ACT Pain and Wellness Clinic,149.062766,-35.241018
"Elanora Heights Physiotherapy, Massage & Acupuncture Centre",151.280211,-33.696187
Imanpa Health Centre,132.569532,-25.128716
Perth Central Dental Centre,115.858297,-31.951456
Corrigin Phamarcy,117.875639,-32.330885
Clinicare Pharmacy,117.400069,-32.010529
Beverley Medical Practice,116.924728,-32.103243
Western Diagnostic Pathology,116.924659,-32.103198
South Casino Pharmacy,153.04402,-28.871038
Caringbah Station Pharmacy,151.122051,-34.041766
Physioplus,153.062508,-28.860386
Googong Family Practice,149.236388,-35.422005
Cape Byron Medical Center,153.614065,-28.645521
Chemist Warehouse,145.065982,-37.756007
Medical One Sunshine,144.832807,-37.782633
Greenway Medical Centre,149.067763,-35.415488
Pathology,149.06798,-35.415084
Laverty Pathology,149.06805,-35.415409
PhysioChoice Cairnlea,144.789997,-37.758098
PhysioChoice Aspendale Gardens,145.117935,-38.022038
PhysioChoice Point Cook,144.752606,-37.896975
Phallosan Forte,151.2752,-33.889157
Barunga Health Centre,132.865734,-14.524934
Priceline Pharmacy,147.148119,-41.429087
Diamond Creek Pharmacy,145.159501,-37.673925
"Dr Ludmilla Collins, Obstetrician and Gynecologist",151.113179,-34.035622
Eagle Junction Pharmacy,153.048492,-27.415298
Royal Flying Doctor Service,134.187653,-19.64722
Health Centre,131.043141,-12.523146
Priceline Pharmacy,130.984498,-12.470782
Medical Centre,131.042791,-12.525281
Terrace Pharmacy,132.262799,-14.465388
Better Health,131.042658,-12.525103
Psychologist,131.043323,-12.523273
Dr Andrew MacMillan,151.97408,-27.565268
Walton Bridge Medical Centre,152.952849,-27.445171
Chemist Warehouse,145.002527,-37.884653
Dental Society,138.530532,-34.8697
Chemist Warehouse,144.851215,-37.777952
Clovercrest Family Practice,138.67293,-34.829291
Forward Medical GP Clinic,138.612276,-34.926827
Specsavers Berri,140.609263,-34.280136
Hills Medical Service,138.73434,-35.014918
UniHealth Playford GP SuperClinic,138.68074,-34.672138
Engaging Minds Clinical Psychology,138.530465,-34.870109
National Pharamcies,138.67325,-34.829271
Athelstone Respiratory Clinic,138.703021,-34.871158
TerryWhite Chemmart,145.207727,-37.747569
Warrandyte Medical Centre,145.211022,-37.743597
Pilbara Dental Centre,117.670989,-23.199917
Ludus Sports Performance,115.820172,-32.041477
ANIMA Health Network,115.825817,-31.940563
Perfect Motion Physiotherapy,138.566775,-34.955315
Brentwood Village Medical Centre,115.849272,-32.041327
SportsMed Subiaco,115.816998,-31.940655
Fremantle Speech Pathology Services,115.761631,-32.079399
Marian Centre,115.824031,-31.941074
Western Oncology,115.824141,-31.94222
7 Day Pharmacy,115.968788,-31.830869
Brabham Smiles,115.969558,-31.832156
Western Diagnostic Pathology,115.832834,-31.947381
Wutunugurra Health Centre,135.250226,-20.463334
Youngtown Pharmacy,147.168058,-41.486007
Amcal,128.74012,-15.775593
ChemCo Compounding Chemist,151.48044,-33.280527
Warner Family Medical Practice,152.952538,-27.291751
Northside Sports Injury Centre,152.952538,-27.291613
Bulman Health Centre,134.332465,-13.665061
Belyuen Health Centre,130.700387,-12.538683
Amanbidji Health Centre,129.619891,-16.427429
Alpurrurulam Health Centre,137.848818,-20.985401
Orrtipa-Thurra Health Centre,136.168453,-22.789288
Kintore Health Centre,129.387393,-23.275505
Laramba Health Centre,132.756603,-22.532958
Yirrkala Health Centre,136.892667,-12.249838
Beswick Health Centre,133.113263,-14.554661
Amcal,152.955987,-26.856246
Peppimenarti Health Centre,130.08057,-14.156165
Julanimawu Health Care Centre,130.639164,-11.75871
Minjilang Health Centre,132.57682,-11.149937
Titjikala Health Centre,134.076057,-24.672994
Finke Health Centre,134.576256,-25.580865
Wilora Health Centre,133.73176,-21.74042
UQ Gatton Medical Centre,152.33612,-27.553077
Northcott Disability Services,151.0014,-33.805227
Studfield Pharmacy,145.240715,-37.859629
Top Care Medical Centre,145.241149,-37.858661
Hornsby Specialist Centre,151.110368,-33.702612
Bremer Bay Pharmacy,119.379058,-34.392344
Priceline Pharmacy,145.161845,-37.906044
National Centre for Childhood Grief,151.110396,-33.702755
On-Balance Physiotherapy,151.110509,-33.70215
Nambour Medical Centre,152.958921,-26.630209
Bremer Bay Health Centre,119.378006,-34.397108
Chemists' Own Trevallyn Pharmacy,147.119788,-41.435204
Australian Red Cross Blood Service,115.930025,-32.014584
Chemist Warehouse,153.026497,-27.243326
Bartchall Medical,153.026379,-27.24339
Walpole Pharmacy,116.730793,-34.976411
Douglass Hanly Moir Pathology,150.926398,-31.087277
Castlereagh Imaging Tamworth,150.926516,-31.087456
Heathmont Family Dentistry,145.245447,-37.828186
Thornside Pharmacy,153.197679,-27.48762
Thornside Medical Centre,153.197723,-27.48764
Symmetry Physiotherapy,144.803485,-37.702731
TLC Dentistry,153.083909,-26.614593
Direct Chemist Outlet,153.082726,-26.614061
Melbourne Dental Vision,145.310709,-38.027374
Brimbank Osteopathy,144.824254,-37.739488
Nagambie Dental Surgery,145.154979,-36.78282
Kilmore Dental and Specialist Centre,144.951874,-37.299614
Family Wise Medical Practices Castle Hill,151.005551,-33.732501
Chemist Warehouse,150.82969,-34.564822
Doctors Surgery,153.069763,-27.320003
South East Orthodontics,145.343644,-38.034804
Sal's Pharmacy,115.762681,-29.534131
Silk Laser Clinics,147.327498,-42.881761
Lugarno Pharmacist Advice,151.047507,-33.975442
Priceline Pharmacy,153.016076,-27.242875
First Step Fertility,153.016502,-27.241126
Morawa Medical Centre,116.004581,-29.213632
Discount,151.19205,-33.824379
Good Price Pharmacy Warehouse,153.098228,-27.472488
Morawa Pharmacy,116.009064,-29.211937
The Dental Project,153.237168,-27.509688
Pharmacy @ Wellington Point,153.23734,-27.50968
Priceline Pharmacy,145.346984,-38.029748
TerryWhite Chemmart,138.007134,-33.191243
Maven Dental QV1 Perth,115.850883,-31.95143
Trained Physio and Fitness,115.874803,-31.950753
Sonic Health Plus,139.499197,-20.705665
Green Head Chemist,114.965875,-30.069433
Hornsby Fountain Medical Centre,151.100516,-33.703543
Southtown Dental,151.964667,-27.580904
Madison Day Surgery,151.100543,-33.7034
Priceline Pharmacy,150.912382,-33.70613
Blood Donors,130.880714,-12.372158
Gold Coast Skin Centre,153.499537,-28.150945
Doctors On Broadway,145.011884,-37.717048
Manly Village,153.18576,-27.454501
Eatons Quality Medical & Skin Cancer,152.962215,-27.337399
Rouse Hill Medical & Dental,150.924876,-33.691541
Chemist Warehouse,145.171839,-37.841619
Centreway Dental,144.407775,-38.023018
Lumus Imaging Forest Hill,145.169849,-37.849088
Priceline Pharmacy,152.950445,-27.102432
Poditary,150.671984,-35.06989
Orange Eye Centre,149.101559,-33.280299
Fawkner Health Care,144.960344,-37.700592
IQ Radiology,152.948314,-27.10447
Vincentia Psychologist,150.672217,-35.070598
Your Health Place,145.043297,-37.889676
Our Medical Loganholme,153.192988,-27.670358
Northern Podiatry,144.98822,-37.750845
Mukinbudin Healthcare Centre,118.207206,-30.916544
Ohana Wellness Hub,153.190013,-27.670917
Laverty Pathology,150.866411,-32.053533
Southern Cross Pharmacy,119.329054,-31.232838
Scone Medical Practice,150.866487,-32.053363
Weston Dentistry,149.051812,-35.339784
Small Talk Speech Therapy,151.730932,-32.893344
Rita Singh Family Practice,151.731126,-32.893476
Dougherty's Pharmacy,150.157529,-33.480983
Hopes Pharmacy,150.156097,-33.481597
Coolgardie Health Centre,121.164498,-30.960037
Southern Cross General Practice,119.327667,-31.232633
Lithgow Dental,150.154161,-33.482069
Chemist Warehouse,145.39926,-36.383438
Central City Community Health Service,144.960682,-37.806722
Chemist Warehouse,151.058178,-33.925741
Chemist Warehouse,150.892696,-34.423919
ACE Sports Clinic,145.038456,-37.845002
Tamborine Village Medical,153.129608,-27.882324
Raymond McMahon Medical Centre,145.261027,-37.978771
Priceline Pharmacy,151.118135,-33.912396
Tathra Pharmacy,149.980429,-36.726323
Guardian,153.002194,-30.641573
Casey Central Pharmacy,145.29987,-38.068139
Priceline Pharmacy,137.713827,-33.964504
Newbery Chemist,137.628231,-33.93163
Sunset Skin Cancer and Medical Clinic,114.627718,-28.72257
Pickford Pharmacy,144.968547,-37.797462
Melbourne North Medical Clinic,144.958148,-37.804272
Newcore Health,144.96029,-37.807521
Chemist Warehouse,153.278264,-27.585867
Priceline Pharmacy,144.24225,-36.810199
My Audiologist,153.237212,-27.509612
Dr Joseph Rizk,151.171299,-33.888363
Douglass Hanly Moir,151.001823,-33.883125
Carnes Hill X-ray and Physio,150.843951,-33.936104
Spiers Outback Chemist,144.249153,-23.442354
Ambassador's Pharmacy,116.145029,-34.241399
Priceline Pharmacy,142.159216,-34.185813
Patrick Street Clinic,146.171312,-41.15559
Hervey Bay dental clinic,152.823418,-25.298701
Camp Hill Pharmacy,153.076585,-27.493188
Albion Pharmacy,144.944977,-37.758867
Northern Rheumatology,144.944033,-37.764229
ScriptRite Pharmacy,144.94402,-37.764294
TerryWhite Chemmart,138.605205,-34.922815
Chemist Warehouse,144.713471,-37.577977
Melbourne Pathology Collection Centre,144.677366,-37.876561
Portia Millar,153.436494,-28.049051
Weston Pharmacy,149.052138,-35.341947
Kurrajong Compounding Pharmacy,150.666519,-33.553638
OSO Centre,147.352966,-35.116131
The Rural Lung Unit,147.352988,-35.116039
Albury City Pharmacy,146.919876,-36.079818
Pharmasave Corowa Discount Pharmacy,146.390979,-35.997229
Chemist Warehouse,145.063155,-37.982515
Discount Pharmacy,145.084562,-37.813103
Kurrajong Natural Medicine Centre,150.665082,-33.554953
Pharmacy 4 You,144.880109,-37.805764
Chemist Warehouse,144.993429,-38.311199
Dr. Steve Raymond,151.708626,-32.912845
Newcastle Anaesthesia & Perioperative Service,151.708633,-32.912801
Mandurah Central Pharmacy,115.720998,-32.533453
Nepean Dermatology,150.714504,-33.76173
Aspendale Pharmacy,145.10254,-38.027148
Community health centre,145.880316,-34.806888
TerryWhite Chemmart,153.011595,-27.477398
Medical Centre Healthsmart,150.691889,-33.757558
Body Dynamics Illawarra,150.913372,-34.334333
Helping Hands Osteopathy,145.100983,-38.026075
For Eyes Only,153.011955,-27.477572
Blooms The Chemist,148.299477,-34.313918
Priceline Pharmacy,144.749768,-36.127942
Amcal,144.749575,-36.127327
Direct Chemist Outlet,152.989855,-27.228369
Family Practice Plus,152.98988,-27.228219
Dakabin Dental,152.989776,-27.228407
Craigieburn Pharmacy,144.940216,-37.597934
Evan Street Denture Clinic,150.701988,-33.755559
Priceline Pharmacy,152.969121,-27.346757
Chemist Warehouse,145.141329,-38.184708
Chemist Warehouse,144.847193,-37.832474
Chemist Warehouse,147.138109,-41.439003
Chemist Warehouse,145.091781,-37.893017
Chemist Warehouse,145.085167,-37.887448
Priceline Pharmacy,149.72087,-34.752342
Priceline Pharmacy,143.860897,-37.56247
Emu Plains Medical Practice,150.672427,-33.746319
Myrtle Bank Dental,138.638399,-34.956924
Chemist Warehouse,145.172155,-37.790676
Chemist Warehouse,150.695431,-33.751217
Chemist Warehouse,145.146189,-37.992172
The Tunstall Pharmacy,145.171292,-37.791132
Terry White Chemmart,153.053317,-27.552744
Polaris Medical Centre,145.048238,-37.713344
Sunshine Central Medical Clinic,144.83181,-37.78554
St Albans Family Doctors Clinic,144.811881,-37.759588
Mount Surprise Clinic,144.316928,-18.147409
Stevensons Chiropractic Clinic,151.726487,-32.932424
Hunter Imaging,151.725283,-32.936
The Fresh Foot Centre,145.298471,-38.021357
Rowville Medical Clinic,145.252852,-37.927981
Amcal,145.252758,-37.928012
Artarmon Fine Dental,151.18488,-33.809151
Providence Medical Shoal Bay & Anna Bay,152.083085,-32.777582
Anna Bay Pharmacy,152.083602,-32.777643
Anna Bay Specialist Room,152.083506,-32.777623
Anna Bay Denture Clinic,152.083847,-32.778192
Pitt Street Medical Centre,150.992606,-33.833145
Cobargo Doctors,149.887999,-36.387342
Tom Price Pharmacy,117.796089,-22.69402
Gregory Street Psychology,147.32627,-42.895717
Bayside Medical Centre,147.355854,-42.912378
Douglass Hanly Moir Pathology,152.083406,-32.777613
Cancare Clinic,151.185235,-33.809358
Footprints Podiatry,145.906107,-41.054913
TerryWhite Chemmart,151.083234,-33.773244
Latrobe Family Medical Practice,146.407825,-41.2347
Denture Clinic,153.024032,-27.531142
Woodridge Denture Clinic,153.102556,-27.636064
Osteo Place,153.064487,-27.449547
TerryWhite Chemmart,153.05992,-27.493939
The Dental Club,152.964907,-27.078375
Chiropractor,153.011114,-27.483493
Neighbourhood Medical,152.979574,-27.463616
Norwood Medical Centre,147.17792,-41.456382
AllCare Physiotherapy,147.330543,-42.889745
Optical Express,152.871915,-27.647037
QML Pathology,152.964419,-27.078447
Smile In The City,144.974408,-37.799594
Victorian Aboriginal Health Service Co-operative Ltd,144.975129,-37.79938
Fitzroy Community Health Centre,144.977145,-37.804945
David Nolte Pharmacy,144.971869,-37.788418
Chemist Warehouse,144.995632,-37.80962
Northcote Medical,145.000553,-37.768415
South Melbourne Smiles,144.96195,-37.835479
John Silverii's Pharmacy,144.986599,-37.779852
St Leonards Pharmacy,144.717591,-38.171327
St Kilda Road Medical Centre,144.975633,-37.835551
Tribeca Dental,144.985195,-37.810102
Clifton Hill Dental,144.990029,-37.789329
Dentist,144.900861,-37.799671
Airlie Women's Clinic,145.04141,-37.853267
Low Price Pharmacy,145.082671,-37.709407
Campbellfield Medical Centre,144.959422,-37.687452
PharmaSave,144.95944,-37.687594
Brunswick Central Medical Centre,144.961289,-37.773108
Pharmacy 4 Less,143.786301,-37.543868
Chemist Warehouse,143.817684,-37.555545
Lygon Everyday Chemist,144.973048,-37.763259
Chemist Warehouse,145.124105,-38.14359
Brunswick Pharmacy,144.961661,-37.768941
Maternal & Child Health Centre,144.99685,-37.699717
Portarlington Pharmacy,144.653632,-38.115262
